0,CombatZoneResize,241,226,406,391,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,
0,HeartMode,0,,,,,,,,,,
0,,,,,,,,,,,,
0,,,,,,,,,,,,
0,,,,,,,,,,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,Y,$HeartY,100,,,,,,,,
0,SUB,X,$HeartX,100,,,,,,,,
0,ADD,Y2,$HeartY,100,,,,,,,,
0,ADD,X2,$HeartX,100,,,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,$Y,90,0.1,0,0,0,
0,GasterBlaster,0,640,$HeartY,$X2,$HeartY,180,0.1,0,0,0,
0,GasterBlaster,0,$HeartX,480,$HeartX,$Y2,-90,0.1,0,0,0,
0,GasterBlaster,0,0,$HeartY,$X,$HeartY,0,0.1,0,0,0,
0.5,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X3,$HeartX,100,,,,,,,,
0,SUB,Y3,$HeartY,100,,,,,,,,
0,ADD,Y4,$HeartY,100,,,,,,,,
0,ADD,X4,$HeartX,100,,,,,,,,
0,GasterBlaster,0,0,0,$X3,$Y3,45,0.1,0,0,0,
0,GasterBlaster,0,640,0,$X4,$Y3,135,0.1,0,0,0,
0,GasterBlaster,0,0,480,$X3,$Y4,-45,0.1,0,0,0,
0,GasterBlaster,0,640,480,$X4,$Y4,-135,0.1,0,0,0,
0.5,GetHeartPos,HeartX,HeartY,,,,,,,,,
0,SUB,X5,$HeartX,50,,,,,,,,
0,SUB,Y5,$HeartY,50,,,,,,,,
0,ADD,Y6,$HeartY,50,,,,,,,,
0,ADD,X6,$HeartX,50,,,,,,,,
0,GasterBlaster,0,0,0,$X5,$Y5,90,0.1,0,0,0,
0,GasterBlaster,0,640,0,$X6,$Y5,180,0.1,0,0,0,
0,GasterBlaster,0,0,480,$X5,$Y6,0,0.1,0,0,0,
0,GasterBlaster,0,640,480,$X6,$Y6,-90,0.1,0,0,0,
0.4,BoneVV,320,480,150,270,150,0,-2,0,0,,
0.5,The world,,,,,,,,,,,
0.2,BoneVRepeat,221,356,30,0,200,0,500,12,,,
0,PlatformRepeat,201,346,30,0,100,0,50,80,,,
2.5,The world off,,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,
0,Sound,Ding,,,,,,,,,,
1,SansAnimation,Idle,,,,,,,,,,
0,BoneVVRepeat,201,346,50,0,100,0,0,0,0,100,75
0,BoneVRepeat,416,231,65,2,100,0,100,75,,,
0,,,,,,,,,,,,
13.666666,EndAttack,,,,,,,,,,,
