0,CombatZoneResize,121,186,526,391,,,,,,
0,CombatZoneSpeed,500,,,,,,,,,
0,HeartMaxFallSpeed,700,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,
0,HeartMode,0,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0.5,SET,time,0.53333,,,,,,,,
0,SET,LLLL,27,,,,,,,,
0,SUB,LLLL,$LLLL,1,,,,,,,
0,RND,Ang,360,,,,,,,,
0,COS,X,$Ang,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,
0,MUL,EndX,$X,200,,,,,,,
0,MUL,EndY,$Y,200,,,,,,,
0,MUL,X,$X,400,,,,,,,
0,MUL,Y,$Y,300,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,,,
0,ADD,X,$X,$HeartX,,,,,,,
0,ADD,Y,$Y,$HeartY,,,,,,,
0,JMPNL,30,$EndX,50,,,,,,,
0,SET,EndX,50,,,,,,,,
0,JMPNG,32,$EndX,590,,,,,,,
0,SET,EndX,590,,,,,,,,
0,JMPNL,34,$EndY,40,,,,,,,
0,SET,EndY,40,,,,,,,,
0,JMPNG,36,$EndY,440,,,,,,,
0,SET,EndY,440,,,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.66666,0.03333,0,0
0,SUB,time,$time,0.002,,,,,,,
$time,RND,Ang,360,,,,,,,,
0,COS,X,$Ang,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,
0,MUL,EndX,$X,200,,,,,,,
0,MUL,EndY,$Y,200,,,,,,,
0,MUL,X,$X,400,,,,,,,
0,MUL,Y,$Y,300,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,,,
0,ADD,X,$X,$HeartX,,,,,,,
0,ADD,Y,$Y,$HeartY,,,,,,,
0,JMPNL,53,$EndX,50,,,,,,,
0,SET,EndX,50,,,,,,,,
0,JMPNG,55,$EndX,590,,,,,,,
0,SET,EndX,590,,,,,,,,
0,JMPNL,57,$EndY,40,,,,,,,
0,SET,EndY,40,,,,,,,,
0,JMPNG,59,$EndY,440,,,,,,,
0,SET,EndY,440,,,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,,,
0,GasterBlaster,1,$X,$Y,$EndX,$EndY,$Ang,1.6666,0.03333,0,0
0,SUB,time,$time,0.002,,,,,,,
$time,JMPNZ,15,$LLLL,,,,,,,,
2,EndAttack,,,,,,,,,,
