0,CombatZoneResize,121,186,526,391,,,,,,
0,CombatZoneSpeed,500,,,,,,,,,
0,HeartMaxFallSpeed,700,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0,,,,,,,,,,,
0.5,SET,time,0.23333,,,,,,,,
0,SET,LLLL,37,,,,,,,,
0,SUB,LLLL,$LLLL,1,,,,,,,
0,RND,Ang,360,,,,,,,,
0,COS,X,$Ang,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,
0,MUL,EndX,$X,200,,,,,,,
0,MUL,EndY,$Y,200,,,,,,,
0,MUL,X,$X,400,,,,,,,
0,MUL,Y,$Y,300,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,,,
0,ADD,X,$X,$HeartX,,,,,,,
0,ADD,Y,$Y,$HeartY,,,,,,,
0,JMPNL,30,$EndX,50,,,,,,,
0,SET,EndX,50,,,,,,,,
0,JMPNG,32,$EndX,590,,,,,,,
0,SET,EndX,590,,,,,,,,
0,JMPNL,34,$EndY,40,,,,,,,
0,SET,EndY,40,,,,,,,,
0,JMPNG,36,$EndY,440,,,,,,,
0,SET,EndY,440,,,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.46666,0.03333,0,0
0,SUB,time,$time,0.002,,,,,,,
$time,RND,Ang,360,,,,,,,,
0,COS,X,$Ang,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,
0,MUL,EndX,$X,200,,,,,,,
0,MUL,EndY,$Y,200,,,,,,,
0,MUL,X,$X,400,,,,,,,
0,MUL,Y,$Y,300,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,,,
0,ADD,X,$X,$HeartX,,,,,,,
0,ADD,Y,$Y,$HeartY,,,,,,,
0,JMPNL,53,$EndX,50,,,,,,,
0,SET,EndX,50,,,,,,,,
0,JMPNG,55,$EndX,590,,,,,,,
0,SET,EndX,590,,,,,,,,
0,JMPNL,57,$EndY,40,,,,,,,
0,SET,EndY,40,,,,,,,,
0,JMPNG,59,$EndY,440,,,,,,,
0,SET,EndY,440,,,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,,,
0,GasterBlaster,1,$X,$Y,$EndX,$EndY,$Ang,0.86666,0.03333,0,0
0,SUB,time,$time,0.002,,,,,,,
$time,JMPNZ,15,$LLLL,,,,,,,,
2,SET,time,0.0001,,,,,,,,
0,SET,LLLL2,10,,,,,,,,
0,SUB,LLLL2,$LLLL2,1,,,,,,,
0,RND,Ang,360,,,,,,,,
0,COS,X,$Ang,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,
0,MUL,EndX,$X,200,,,,,,,
0,MUL,EndY,$Y,200,,,,,,,
0,MUL,X,$X,400,,,,,,,
0,MUL,Y,$Y,300,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,,,
0,ADD,X,$X,$HeartX,,,,,,,
0,ADD,Y,$Y,$HeartY,,,,,,,
0,JMPNL,80,$EndX,50,,,,,,,
0,SET,EndX,50,,,,,,,,
0,JMPNG,82,$EndX,590,,,,,,,
0,SET,EndX,590,,,,,,,,
0,JMPNL,84,$EndY,40,,,,,,,
0,SET,EndY,40,,,,,,,,
0,JMPNG,86,$EndY,440,,,,,,,
0,SET,EndY,440,,,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.66666,0.03333,0,0
$time,RND,Ang,360,,,,,,,,
0,COS,X,$Ang,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,
0,MUL,EndX,$X,200,,,,,,,
0,MUL,EndY,$Y,200,,,,,,,
0,MUL,X,$X,400,,,,,,,
0,MUL,Y,$Y,300,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,,,
0,ADD,X,$X,$HeartX,,,,,,,
0,ADD,Y,$Y,$HeartY,,,,,,,
0,JMPNL,102,$EndX,50,,,,,,,
0,SET,EndX,50,,,,,,,,
0,JMPNG,104,$EndX,590,,,,,,,
0,SET,EndX,590,,,,,,,,
0,JMPNL,106,$EndY,40,,,,,,,
0,SET,EndY,40,,,,,,,,
0,JMPNG,108,$EndY,440,,,,,,,
0,SET,EndY,440,,,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,,,
0,GasterBlaster,1,$X,$Y,$EndX,$EndY,$Ang,1.06666,0.03333,0,0
$time,JMPNZ,65,$LLLL2,,,,,,,,
3,EndAttack,,,,,,,,,,
