0,CombatZoneResize,241,226,406,391,,,,,,,,,
0,HeartTeleport,350,334,,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,,
0,GBBoneVV2,323,307,150,323,307,1,0,90,0,15,-2,0,2
0,GBBoneVV2,323,307,150,323,307,1,0,0,0,15,-2,0,1
0.5,SET,gt,0,,,,,,,,,,,
0,SET,gin,1,,,,,,,,,,,
0,MUL,Ang,$gt,10,,,,,,,,,,
0,COS,X,$Ang,,,,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,,,,
0,MUL,EndX,$X,150,,,,,,,,,,
0,MUL,EndY,$Y,150,,,,,,,,,,
0,MUL,X,$EndX,3,,,,,,,,,,
0,MUL,Y,$EndY,3,,,,,,,,,,
0,ADD,X,$X,320,,,,,,,,,,
0,ADD,Y,$Y,306,,,,,,,,,,
0,ADD,EndX,$EndX,320,,,,,,,,,,
0,ADD,EndY,$EndY,306,,,,,,,,,,
0,ADD,Ang2,$Ang,180,,,,,,,,,,
0,COS,X2,$Ang2,,,,,,,,,,,
0,SIN,Y2,$Ang2,,,,,,,,,,,
0,MUL,EndX2,$X2,150,,,,,,,,,,
0,MUL,EndY2,$Y2,150,,,,,,,,,,
0,MUL,X2,$EndX2,3,,,,,,,,,,
0,MUL,Y2,$EndY2,3,,,,,,,,,,
0,ADD,X2,$X2,320,,,,,,,,,,
0,ADD,Y2,$Y2,306,,,,,,,,,,
0,ADD,EndX2,$EndX2,320,,,,,,,,,,
0,ADD,EndY2,$EndY2,306,,,,,,,,,,
0,ADD,Ang,$Ang,180,,,,,,,,,,
0,ADD,Ang2,$Ang2,180,,,,,,,,,,
0,ADD,Ang3,$Ang,90,,,,,,,,,,
0,ADD,Ang4,$Ang2,90,,,,,,,,,,
0,GBBoneV,$X,$Y,30,$EndX,$EndY,5,150,$Ang3,$Ang,0,0,0,0
0,GBBoneV,$X2,$Y2,30,$EndX2,$EndY2,5,150,$Ang4,$Ang2,0,0,0,0
0,ADD,gt,$gt,$gin,,,,,,,,,,
0,JMPNL,39,$gin,0.1,,,,,,,,,,
0,ADD,gin,$gin,0.015,,,,,,,,,,
0.1222,JMPL,8,$gt,190,,,,,,,,,,
2,EndAttack,,,,,,,,,,,,,
