0,CombatZoneResize,133,251,508,391,,,,,,,
0,HeartTeleport,320,376,,,,,,,,,
0,HeartMode,1,,,,,,,,,,
0,PlatformRepeat,-20,346,51,2,120,0,55,140,,,
0,PlatformRepeat,552,306,51,0,120,0,55,160,,,
0,BoneTRepeat,50,326,28,15,0,100,0,2,0,50,180
0,BoneTRepeat,590,285,28,15,180,100,0,2,0,50,180
0,BoneTRepeat,590,366,28,15,180,100,0,2,0,50,180
0.5,SET,Loop,4,,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,,
0,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster,0,0,0,73,$Y,0,0.8,0.08,0,0,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster,0,640,0,563,$Y,180,0.8,0.08,0,0,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster,0,0,0,73,$Y,0,0.8,0.08,0,0,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster,0,640,0,563,$Y,180,0.8,0.08,0,0,
0,GasterBlaster3,0,320,0,320,166,35,0.3,2,0,0.5,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster,0,0,0,73,$Y,0,0.8,0.08,0,0,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster,0,640,0,563,$Y,180,0.8,0.08,0,0,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster,0,0,0,73,$Y,0,0.8,0.08,0,0,
1.5,RND,Y,3,,,,,,,,,
0,MUL,Y,$Y,40,,,,,,,,
0,ADD,Y,$Y,285,,,,,,,,
0,GasterBlaster,0,640,0,563,$Y,180,0.8,0.08,0,0,
0,GasterBlaster3,0,320,0,320,166,145,0.3,2,0,-0.5,
1.5,JMPNZ,10,$Loop,,,,,,,,,
0,EndAttack,,,,,,,,,,,
