0,CombatZoneResize,241,226,406,391,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,SET,gt,0,,,,,,,,,,,
0,SET,gin,1,,,,,,,,,,,
0,MUL,Ang,$gt,-10,,,,,,,,,,
0,COS,X,$Ang,,,,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,,,,
0,MUL,EndX,$X,0,,,,,,,,,,
0,MUL,EndY,$Y,0,,,,,,,,,,
0,MUL,X,$EndX,3,,,,,,,,,,
0,MUL,Y,$EndY,3,,,,,,,,,,
0,ADD,X,$X,100,,,,,,,,,,
0,ADD,Y,$Y,100,,,,,,,,,,
0,ADD,EndX,$EndX,100,,,,,,,,,,
0,ADD,EndY,$EndY,100,,,,,,,,,,
0,ADD,Ang,$Ang,180,,,,,,,,,,
0,MUL,Ang2,$gt,10,,,,,,,,,,
0,COS,X2,$Ang2,,,,,,,,,,,
0,SIN,Y2,$Ang2,,,,,,,,,,,
0,MUL,EndX2,$X2,0,,,,,,,,,,
0,MUL,EndY2,$Y2,0,,,,,,,,,,
0,MUL,X2,$EndX2,3,,,,,,,,,,
0,MUL,Y2,$EndY2,3,,,,,,,,,,
0,ADD,X2,$X2,500,,,,,,,,,,
0,ADD,Y2,$Y2,100,,,,,,,,,,
0,ADD,EndX2,$EndX2,500,,,,,,,,,,
0,ADD,EndY2,$EndY2,100,,,,,,,,,,
0,ADD,Ang2,$Ang2,180,,,,,,,,,,
0,GBBoneV,$X,$Y,30,$EndX,$EndY,5,200,$Ang*-1,$Ang,0,1,0,0
0,GBBoneV,$X2,$Y2,30,$EndX2,$EndY2,5,200,$Ang2*-1,$Ang2,0,-1,0,0
0,ADD,gt,$gt,$gin,,,,,,,,,,
0,JMPNL,39,$gin,2.7,,,,,,,,,,
0,ADD,gin,$gin,0.015,,,,,,,,,,
0.05,JMPL,10,$gt,1000,,,,,,,,,,
1,EndAttack,,,,,,,,,,,,,
