0,CombatZoneResize,133,251,508,391,,,,,,
0,HeartTeleport,320,376,,,,,,,,
0,HeartMode,1,,,,,,,,,
0,,,,,,,,,,,
0.5,SET,loop,6,,,,,,,,
0,SUB,loop,$loop,1,,,,,,,
0,SET,gao,55,,,,,,,,
0,SET,di,331,,,,,,,,
0,SET,gao2,55,,,,,,,,
0,RND,jia,41,,,,,,,,
0,ADD,gao,$gao,$jia,,,,,,,
0,SUB,gao2,$gao2,$jia,,,,,,,
0,ADD,di,$di,$jia,,,,,,,
0,SET,gao3,58,,,,,,,,
0,SET,di2,334,,,,,,,,
0,SET,gao4,52,,,,,,,,
0,ADD,gao3,$gao3,$jia,,,,,,,
0,SUB,gao4,$gao4,$jia,,,,,,,
0,ADD,di2,$di2,$jia,,,,,,,
0,SET,gao5,61,,,,,,,,
0,SET,di3,337,,,,,,,,
0,SET,gao6,49,,,,,,,,
0,ADD,gao5,$gao5,$jia,,,,,,,
0,SUB,gao6,$gao6,$jia,,,,,,,
0,ADD,di3,$di3,$jia,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,,
0,ANGLE,Ang,50,450,$HeartX,$HeartY,,,,,
0,ANGLE,Ang2,590,450,$HeartX,$HeartY,,,,,
0,gasterblaster,0,0,480,50,450,$Ang,1,0.26,0,0
0,gasterblaster,0,640,480,590,450,$Ang2,0.9,0.26,0,0
0,BoneV,128,257,$gao,0,250,0,,,,
0,BoneV,128,$di,$gao2,0,250,0,,,,
0,BoneV,503,257,$gao,2,250,0,,,,
0,BoneV,503,$di,$gao2,2,250,0,,,,
0,BoneV,114,257,$gao3,0,250,0,,,,
0,BoneV,114,$di2,$gao4,0,250,0,,,,
0,BoneV,517,257,$gao3,2,250,0,,,,
0,BoneV,517,$di2,$gao4,2,250,0,,,,
0,BoneV,100,257,$gao5,0,250,0,,,,
0,BoneV,100,$di3,$gao6,0,250,0,,,,
0,BoneV,531,257,$gao5,2,250,0,,,,
0,BoneV,531,$di3,$gao6,2,250,0,,,,
2,SET,gao,50,,,,,,,,
0,SET,di,326,,,,,,,,
0,SET,gao2,60,,,,,,,,
0,RND,jia,46,,,,,,,,
0,ADD,gao,$gao,$jia,,,,,,,
0,SUB,gao2,$gao2,$jia,,,,,,,
0,ADD,di,$di,$jia,,,,,,,
0,SET,gao3,53,,,,,,,,
0,SET,di2,329,,,,,,,,
0,SET,gao4,57,,,,,,,,
0,ADD,gao3,$gao3,$jia,,,,,,,
0,SUB,gao4,$gao4,$jia,,,,,,,
0,ADD,di2,$di2,$jia,,,,,,,
0,SET,gao5,56,,,,,,,,
0,SET,di3,332,,,,,,,,
0,SET,gao6,54,,,,,,,,
0,ADD,gao5,$gao5,$jia,,,,,,,
0,SUB,gao6,$gao6,$jia,,,,,,,
0,ADD,di3,$di3,$jia,,,,,,,
0,RND,zhouX,640,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,,,
0,gasterblaster,0,$zhouX,0,$HeartX,50,90,1,0.26,0,0
0,BoneV,128,257,$gao,0,250,0,,,,
0,BoneV,128,$di,$gao2,0,250,0,,,,
0,BoneV,503,257,$gao,2,250,0,,,,
0,BoneV,503,$di,$gao2,2,250,0,,,,
0,BoneV,114,257,$gao3,0,250,0,,,,
0,BoneV,114,$di2,$gao4,0,250,0,,,,
0,BoneV,517,257,$gao3,2,250,0,,,,
0,BoneV,517,$di2,$gao4,2,250,0,,,,
0,BoneV,100,257,$gao5,0,250,0,,,,
0,BoneV,100,$di3,$gao6,0,250,0,,,,
0,BoneV,531,257,$gao5,2,250,0,,,,
0,BoneV,531,$di3,$gao6,2,250,0,,,,
2,JMPNZ,6,$loop,,,,,,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,,,
0,SUB,X,$HeartX,100,,,,,,,
0,SUB,Y,$HeartY,100,,,,,,,
0,SUB,Y2,$HeartY,100,,,,,,,
0,ADD,X3,$HeartX,100,,,,,,,
0,ADD,Y3,$HeartY,100,,,,,,,
0,SET,T,0,,,,,,,,
0,RND,Jian,10,,,,,,,,
0,SUB,T,$T,$Jian,,,,,,,
0,SET,T2,1,,,,,,,,
0,DIV,T3,$Jian,1.2,,,,,,,
0,ADD,T2,$T2,$T3,,,,,,,
0,ADD,T2,$T2,0.76,,,,,,,
0,Gasterblaster,0,320,0,$X,$Y,45,0.5,0.26,0,$T
0,Gasterblaster,0,320,0,$HeartX,$Y2,90,0.5,0.26,0,$T
0,Gasterblaster,0,320,0,$X3,$Y2,135,0.5,0.26,0,$T
0,Gasterblaster,0,320,100,$X3,$HeartY,180,0.5,0.26,0,$T
0,Gasterblaster,0,320,200,$X3,$Y3,-135,0.5,0.26,0,$T
0,Gasterblaster,0,320,200,$HeartX,$Y3,-90,0.5,0.26,0,$T
0,Gasterblaster,0,320,200,$X,$Y3,-45,0.5,0.26,0,$T
0,Gasterblaster,0,320,100,$X,$HeartY,0,0.5,0.26,0,$T
$T2,EndAttack,,,,,,,,,,
