0,CombatZoneResize,241,226,406,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0,,,,,,,,,
0.5,SET,Loop,7,,,,,,
0,:RndAttack,,,,,,,,
0,JMPZ,End,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,16,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack0,,,,,,,
0,JMPABS,Attack1,,,,,,,
0,JMPABS,Attack2,,,,,,,
0,JMPABS,Attack3,,,,,,,
0,JMPABS,Attack4,,,,,,,
0,JMPABS,Attack5,,,,,,,
0,JMPABS,Attack6,,,,,,,
0,JMPABS,Attack7,,,,,,,
0,JMPABS,Attack8,,,,,,,
0,JMPABS,Attack9,,,,,,,
0,JMPABS,Attack10,,,,,,,
0,JMPABS,Attack11,,,,,,,
0,JMPABS,Attack12,,,,,,,
0,JMPABS,Attack13,,,,,,,
0,JMPABS,Attack14,,,,,,,
0,JMPABS,Attack15,,,,,,,
0,:Attack0,,,,,,,,
0,GasterBlaster,1,0,0,189,246,0,0.533,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.533,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.533,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.533,0.26666
1,JMPABS,RndAttack,,,,,,,
0,:Attack1,,,,,,,,
0,GasterBlaster,1,0,0,189,176,45,0.533,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.533,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.533,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.533,0.26666
1,JMPABS,RndAttack,,,,,,,
0,:Attack2,,,,,,,,
0,GasterBlaster,1,0,0,189,176,45,0.533,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.533,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.533,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.533,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.533,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.533,0.26666
1,JMPABS,RndAttack,,,,,,,
0,:Attack3,,,,,,,,
0,GasterBlaster,1,0,0,189,176,45,0.533,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.533,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.533,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.533,0.26666
0,GasterBlaster,1,0,0,189,246,0,0.533,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.533,0.26666
1,JMPABS,RndAttack,,,,,,,
0,:Attack4,,,,,,,,
0,GasterBlaster,1,0,0,189,176,45,0.533,0.26666
0,GasterBlaster,1,0,0,189,246,0,0.533,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.533,0.26666
1,JMPABS,RndAttack,,,,,,,
0,:Attack5,,,,,,,,
0,GasterBlaster,1,640,480,449,366,180,0.533,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.533,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.533,0.26666
