0,CombatZoneResize,121,186,526,391,,,,,,
0,HeartTeleport,325,294,,,,,,,,
0,HeartMode,0,,,,,,,,,
0,BoneHRepeat2,526,226,40,0,65,0,38,85,,
0,BoneHRepeat2,121,266,40,2,65,0,38,85,,
0,BoneHRepeat2,526,306,40,0,65,0,38,85,,
0,BoneHRepeat2,121,346,40,2,65,0,38,85,,
0.5,SET,xunhuan,15,,,,,,,,
0,SUB,xunhuan,$xunhuan,1,,,,,,,
0,SET,TY,211,,,,,,,,
0,RND,JII,5,,,,,,,,
0,SET,TII,40,,,,,,,,
0,MUL,TII,$TII,$JII,,,,,,,
0,ADD,TY,$TY,$TII,,,,,,,
0,SET,TX,141,,,,,,,,
0,RND,JII2,366,,,,,,,,
0,ADD,TX,$TX,$JII2,,,,,,,
0,SET,TX2,141,,,,,,,,
0,RND,JII3,366,,,,,,,,
0,ADD,TX2,$TX2,$JII3,,,,,,,
0,GasterBlaster,0,320,0,$TX2,126,90,0.7,0.2666,0,0
0,GasterBlaster,0,320,0,$TX,126,90,0.7,0.2666,0,0
0,GasterBlaster,0,61,0,61,$TY,0,0.7,0.2666,0,0
0,SET,TY,211,,,,,,,,
0,RND,JII,5,,,,,,,,
0,SET,TII,40,,,,,,,,
0,MUL,TII,$TII,$JII,,,,,,,
0,ADD,TY,$TY,$TII,,,,,,,
0,SET,TX,141,,,,,,,,
0,RND,JII2,366,,,,,,,,
0,ADD,TX,$TX,$JII2,,,,,,,
0,SET,TX2,141,,,,,,,,
0,RND,JII3,366,,,,,,,,
0,ADD,TX2,$TX2,$JII3,,,,,,,
0.966,GasterBlaster,0,320,0,$TX2,126,90,0.7,0.2666,0,0
0,GasterBlaster,0,320,0,$TX,126,90,0.7,0.2666,0,0
0,GasterBlaster,0,586,0,586,$TY,180,0.7,0.2666,0,0
0.966,JMPNZ,9,$xunhuan,,,,,,,,
1,EndAttack,,,,,,,,,,
