0,CombatZoneResize,241,226,406,391,TLPause,,
0,HeartTeleport,320,304,,,,,
0,HeartMaxFallSpeed,700,,,,,,
0,TLResume,,,,,,,
0.2,SansHead,Closedeyes,,,,,,
0,SansTorso,shrug,,,,,,
0,sanstext,You must know that this                   is impossible,,,,,,
0,SansHead,Default,,,,,,
0,SansTorso,Default,,,,,,
0,RND,T,5,,,,,
0,ADD,T,$T,1,,,,
0,JMPREL,$T,,,,,,
0,JMPABS,NO1,,,,,,
0,JMPABS,NO2,,,,,,
0,JMPABS,NO3,,,,,,
0,JMPABS,NO4,,,,,,
0,JMPABS,NO5,,,,,,
0,:NO1,,,,,,,
0.8,SansBody,HandDown,,,,,,
0,sansslam,1,,,,,,
0.2666,BoneStab,1,29,0.1333,0.266,,,
0,SansTorso,Default,,,,,,
0,SansAnimation,Idle,,,,,,
0.2,bonev,221,231,115,0,900,,
0,bonev,221,356,30,0,900,,
0,bonev,411,231,115,2,900,,
0,bonev,411,356,30,2,900,,
0.6,BoneVRepeat,221,231,115,0,350,8,280
0,BoneVRepeat,221,356,30,0,350,8,280
0,BoneVRepeat,411,231,115,2,350,8,280
0,BoneVRepeat,411,356,30,2,350,8,280
0,BoneVRepeat,206,231,115,0,350,8,280
0,BoneVRepeat,206,356,30,0,350,8,280
0,BoneVRepeat,426,231,115,2,350,8,280
0,BoneVRepeat,426,356,30,2,350,8,280
0,BoneVRepeat,191,231,118,0,350,8,280
0,BoneVRepeat,191,359,27,0,350,8,280
0,BoneVRepeat,441,231,118,2,350,8,280
0,BoneVRepeat,441,359,27,2,350,8,280
7,boneh,246,450,149,3,900,1,
0.05,boneh,246,450,149,3,900,1,
0.05,boneh,246,450,149,3,900,1,
0.05,boneh,246,450,149,3,900,1,
0.05,boneh,246,450,149,3,900,1,
0.35,SansBody,HandUp,,,,,,
0,sansslam,3,,,,,,
0.2,BoneStab,3,45,0.2333,1,,,
0,SansTorso,Default,,,,,,
0,SansAnimation,Idle,,,,,,
0,heartmode,0,,,,,,
0,sound,ding,,,,,,
0.1,BoneStab,1,95,0.1333,0,,,
0.1,BoneStab,1,60,0.2333,13,,,
0,BoneStab,3,60,0.2333,13,,,
0.4,BoneVRepeat,236,231,78,0,100,8,50
0,BoneVRepeat,411,311,78,2,100,8,50
5.8,BoneHRepeat,130,-20,200,1,500,4,183
0,BoneHRepeat,330,720,200,3,500,4,183
2.2,SansBody,HandLeft,,,,,,
0,sansslam,2,,,,,,
0.2,BoneStab,2,29,0.1333,0.1,,,
0.1,BoneStab,0,115,0.1222,0.1,,,
1.5,JMPABS,End,,,,,,
0,:NO2,,,,,,,
0,CombatZoneResizeinstant,241,226,406,391,,,
0,HeartTeleport,320,304,,,,,
0.5,SansBody,HandUp,,,,,,
0.2,SansSlam,3,,,,,,
0.2,BoneStab,3,40,0.4,0.2,,,
0.2,BoneV,228,231,40,0,300,,
0,BoneV,228,286,100,0,300,,
0,BoneV,411,231,40,2,300,,
0,BoneV,411,286,100,2,300,,
0,sanstorso,Default,,,,,,
1,BoneV,228,231,60,0,300,,
0,BoneV,228,306,80,0,300,,
0,BoneV,411,231,60,2,300,,
0,BoneV,411,306,80,2,300,,
0.9,BoneV,228,231,30,0,300,,
0,BoneV,228,276,110,0,300,,
0,BoneV,411,231,30,2,300,,
0,BoneV,411,276,110,2,300,,
0.9,BoneV,228,231,100,0,300,1,
0,BoneV,411,231,100,2,300,1,
0.3,BoneV,431,231,20,2,500,,
0,BoneV,208,231,20,0,500,,
0.3,BoneStab,3,40,0.4,0.2,,,
0.6,SansBody,HandDown,,,,,,
0,SansSlam,1,,,,,,
0.4,BoneStab,1,30,0.4,0.2,,,
0,sanstorso,Default,,,,,,
0.2,Boneh,246,221,110,1,300,,
0,Boneh,376,221,30,1,300,,
0.6,Boneh,246,396,50,3,300,,
0,Boneh,316,396,90,3,300,,
0.6,SansBody,HandLeft,,,,,,
