0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0.2,sanstext,I have to admit that you            are strong,,,,,,,
0,SET,gt,0,,,,,,
0,SET,gin,1,,,,,,
0,RND,YY,2,,,,,,
0,ADD,YY,$YY,1,,,,,
0,JMPREL,$YY,,,,,,,
0,JMPABS,NO1,,,,,,,
0,JMPABS,NO2,,,,,,,
0,:NO1,,,,,,,,
0,SET,UU,-10,,,,,,
0,JMPABS,End,,,,,,,
0,:NO2,,,,,,,,
0,SET,UU,10,,,,,,
0,JMPABS,End,,,,,,,
0,:End,,,,,,,,
0,MUL,Ang,$gt,$UU,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,150,,,,,
0,MUL,EndY,$Y,150,,,,,
0,MUL,X,$EndX,3,,,,,
0,MUL,Y,$EndY,3,,,,,
0,ADD,X,$X,320,,,,,
0,ADD,Y,$Y,306,,,,,
0,ADD,EndX,$EndX,320,,,,,
0,ADD,EndY,$EndY,306,,,,,
0,ADD,Ang2,$Ang,60,,,,,
0,COS,X2,$Ang2,,,,,,
0,SIN,Y2,$Ang2,,,,,,
0,MUL,EndX2,$X2,150,,,,,
0,MUL,EndY2,$Y2,150,,,,,
0,MUL,X2,$EndX2,3,,,,,
0,MUL,Y2,$EndY2,3,,,,,
0,ADD,X2,$X2,320,,,,,
0,ADD,Y2,$Y2,306,,,,,
0,ADD,EndX2,$EndX2,320,,,,,
0,ADD,EndY2,$EndY2,306,,,,,
0,ADD,Ang3,$Ang,120,,,,,
0,COS,X3,$Ang3,,,,,,
0,SIN,Y3,$Ang3,,,,,,
0,MUL,EndX3,$X3,150,,,,,
0,MUL,EndY3,$Y3,150,,,,,
0,MUL,X3,$EndX3,3,,,,,
0,MUL,Y3,$EndY3,3,,,,,
0,ADD,X3,$X3,320,,,,,
0,ADD,Y3,$Y3,306,,,,,
0,ADD,EndX3,$EndX3,320,,,,,
0,ADD,EndY3,$EndY3,306,,,,,
0,ADD,Ang4,$Ang,180,,,,,
0,COS,X4,$Ang4,,,,,,
0,SIN,Y4,$Ang4,,,,,,
0,MUL,EndX4,$X4,150,,,,,
0,MUL,EndY4,$Y4,150,,,,,
0,MUL,X4,$EndX4,3,,,,,
0,MUL,Y4,$EndY4,3,,,,,
0,ADD,X4,$X4,320,,,,,
0,ADD,Y4,$Y4,306,,,,,
0,ADD,EndX4,$EndX4,320,,,,,
0,ADD,EndY4,$EndY4,306,,,,,
0,ADD,Ang5,$Ang,240,,,,,
0,COS,X5,$Ang5,,,,,,
0,SIN,Y5,$Ang5,,,,,,
0,MUL,EndX5,$X5,150,,,,,
0,MUL,EndY5,$Y5,150,,,,,
0,MUL,X5,$EndX5,3,,,,,
0,MUL,Y5,$EndY5,3,,,,,
0,ADD,X5,$X5,320,,,,,
0,ADD,Y5,$Y5,306,,,,,
0,ADD,EndX5,$EndX5,320,,,,,
0,ADD,EndY5,$EndY5,306,,,,,
0,ADD,Ang6,$Ang,300,,,,,
0,COS,X6,$Ang6,,,,,,
0,SIN,Y6,$Ang6,,,,,,
0,MUL,EndX6,$X6,150,,,,,
0,MUL,EndY6,$Y6,150,,,,,
0,MUL,X6,$EndX6,3,,,,,
0,MUL,Y6,$EndY6,3,,,,,
0,ADD,X6,$X6,320,,,,,
0,ADD,Y6,$Y6,306,,,,,
0,ADD,EndX6,$EndX6,320,,,,,
0,ADD,EndY6,$EndY6,306,,,,,
0,ADD,Ang6,$Ang6,180,,,,,
0,ADD,Ang5,$Ang5,180,,,,,
0,ADD,Ang4,$Ang4,180,,,,,
0,ADD,Ang3,$Ang3,180,,,,,
0,ADD,Ang2,$Ang2,180,,,,,
0,ADD,Ang,$Ang,180,,,,,
0,GasterBlaster,0,$X6,$Y6,$EndX6,$EndY6,$Ang6,1,0
0,GasterBlaster,0,$X5,$Y5,$EndX5,$EndY5,$Ang5,1,0
0,GasterBlaster,0,$X4,$Y4,$EndX4,$EndY4,$Ang4,1,0
0,GasterBlaster,0,$X3,$Y3,$EndX3,$EndY3,$Ang3,1,0
0,GasterBlaster,0,$X2,$Y2,$EndX2,$EndY2,$Ang2,1,0
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,1,0
0,ADD,gt,$gt,$gin,,,,,
0,JMPNL,101,$gin,1,,,,,
0,ADD,gin,$gin,0.015,,,,,
0.1,JMPL,20,$gt,140,,,,,
2.5,DamagePlayer,-15,1,,,,,,
0,EndAttack,,,,,,,,
