0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLPause,,,,,,,,
0,SET,loop,8,,,,,,
0,SUB,loop,$loop,1,,,,,
0,SET,gu,30,,,,,,
0,SET,X,276,,,,,,
0,SET,XX,291,,,,,,
0,SET,guuu,110,,,,,,
0,RND,jia,86,,,,,,
0,ADD,gu,$gu,$jia,,,,,
0,ADD,X,$X,$jia,,,,,
0,ADD,XX,$XX,$jia,,,,,
0,SUB,guuu,$guuu,$jia,,,,,
0,SET,GU,30,,,,,,
0,SET,Y,261,,,,,,
0,SET,YY,276,,,,,,
0,SET,GUU,110,,,,,,
0,RND,JIA,86,,,,,,
0,ADD,GU,$GU,$JIA,,,,,
0,ADD,Y,$Y,$JIA,,,,,
0,ADD,YY,$YY,$JIA,,,,,
0,SUB,GUU,$GUU,$JIA,,,,,
0,RND,Jump,2,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack0,,,,,,,
0,JMPABS,Attack1,,,,,,,
0,:Attack0,,,,,,,,
0,boneh,246,216,$gu,1,70,,,
0,boneh,$X,216,15,1,70,1,,
0,boneh,$XX,216,$guuu,1,70,,,
0,bonev,231,231,$GU,0,70,,,
0,bonev,231,$Y,15,0,70,1,,
0,bonev,231,$YY,$GUU,0,70,,,
1.5,boneh,246,401,$gu,3,380,,,
0,boneh,$X,401,15,3,380,1,,
0,boneh,$XX,401,$guuu,3,380,,,
0,bonev,416,231,$GU,2,380,,,
0,bonev,416,$Y,15,2,380,1,,
0,bonev,416,$YY,$GUU,2,380,,,
0,JMPABS,RndAttack,,,,,,,
0,:Attack1,,,,,,,,
0,boneh,246,401,$gu,3,70,,,
0,boneh,$X,401,15,3,70,1,,
0,boneh,$XX,401,$guuu,3,70,,,
0,bonev,416,231,$GU,2,70,,,
0,bonev,416,$Y,15,2,70,1,,
0,bonev,416,$YY,$GUU,2,70,,,
1.5,boneh,246,216,$gu,1,380,,,
0,boneh,$X,216,15,1,380,1,,
0,boneh,$XX,216,$guuu,1,380,,,
0,bonev,231,231,$GU,0,380,,,
0,bonev,231,$Y,15,0,380,1,,
0,bonev,231,$YY,$GUU,0,380,,,
0,JMPABS,RndAttack,,,,,,,
0,:RndAttack,,,,,,,,
0,RND,Jumpp,2,,,,,,
0,ADD,Jumpp,$Jumpp,1,,,,,
0,JMPREL,$Jumpp,,,,,,,
0,JMPABS,Attack2,,,,,,,
0,JMPABS,Attack3,,,,,,,
0,:Attack2,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,SUB,HeartY,$HeartY,100,,,,,
0,GetHeartPos,HeartXX,HeartYY,,,,,,
0,ADD,HeartYY,$HeartYY,100,,,,,
0,GetHeartPos,HeartXXX,HeartYYY,,,,,,
0,SUB,HeartXXX,$HeartXXX,100,,,,,
0,GetHeartPos,HeartXXXX,HeartYYYY,,,,,,
0,ADD,HeartXXXX,$HeartXXXX,100,,,,,
0,GasterBlaster,0,320,0,$HeartX,$HeartY,90,0.4,0.2
0,GasterBlaster,0,320,480,$HeartXX,$HeartYY,-90,0.4,0.2
0,GasterBlaster,0,0,240,$HeartXXX,$HeartYYY,0,0.4,0.2
0,GasterBlaster,0,640,240,$HeartXXXX,$HeartYYYY,180,0.4,0.2
0,JMPABS,RndAttack2,,,,,,,
0,:Attack3,,,,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,SUB,HeartX,$HeartX,100,,,,,
0,SUB,HeartY,$HeartY,100,,,,,
0,GetHeartPos,HeartXX,HeartYY,,,,,,
0,ADD,HeartXX,$HeartXX,100,,,,,
0,SUB,HeartYY,$HeartYY,100,,,,,
0,GetHeartPos,HeartXXX,HeartYYY,,,,,,
0,SUB,HeartXXX,$HeartXXX,100,,,,,
0,ADD,HeartYYY,$HeartYYY,100,,,,,
0,GetHeartPos,HeartXXXX,HeartYYYY,,,,,,
0,ADD,HeartXXXX,$HeartXXXX,100,,,,,
0,ADD,HeartYYYY,$HeartYYYY,100,,,,,
0,GasterBlaster,0,0,0,$HeartX,$HeartY,45,0.4,0.2
0,GasterBlaster,0,640,0,$HeartXX,$HeartYY,135,0.4,0.2
0,GasterBlaster,0,0,480,$HeartXXX,$HeartYYY,-45,0.4,0.2
0,GasterBlaster,0,640,480,$HeartXXXX,$HeartYYYY,-135,0.4,0.2
0,JMPABS,RndAttack2,,,,,,,
0,:RndAttack2,,,,,,,,
2.5,JMPNZ,6,$loop,,,,,,
1,DamagePlayer,-20,1,,,,,,
0,sound,heartsplit,1,,,,,,
0,EndAttack,,,,,,,,
