0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,DamagePlayer,-30,,,,,,,
0,TLPause,,,,,,,,
0,SansSweat,0,,,,,,,
0,SansHead,noeyes,,,,,,,
0,sanstext,ok.kid,,,,,,,
0,sanstext,I will kill you,,,,,,,
0,sanstext,Even if you get forgivene        ss,,,,,,,
0,SansHead,BlueEye,,,,,,,
0.4,SET,I,0,,,,,,
0.36666,RND,Direction,4,,,,,,
0,ADD,Jump,$Direction,1,,,,,
0,ADD,S,$Direction,2,,,,,
0,SUB,O,$Direction,2,,,,,
0,ADD,U,$Direction,1,,,,,
0,SUB,a,$Direction,1,,,,,
0,ADD,K,$Direction,3,,,,,
0,SUB,w,$Direction,3,,,,,
0,SET,gao,44,,,,,,
0,SET,gao2,85,,,,,,
0,RND,JI,25,,,,,,
0,ADD,gao,$gao,$JI,,,,,
0,SUB,gao2,$gao2,$JI,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPREL,4,,,,,,,
0,JMPREL,5,,,,,,,
0,JMPREL,6,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandRight,,,,,,,
0,JMPREL,7,,,,,,,
0,SansBody,HandDown,,,,,,,
0,JMPREL,5,,,,,,,
0,SansBody,HandLeft,,,,,,,
0,JMPREL,3,,,,,,,
0,SansBody,HandUp,,,,,,,
0,JMPREL,1,,,,,,,
0.26666,SansSlam,$Direction,,,,,,,
0.2,BoneStab,$Direction,29,0.44,0,,,,
0,BoneStab,$S,100,0.44,0,,,,
0,BoneStab,$O,100,0.44,0,,,,
0,BoneStab,$a,$gao,0.44,0,,,,
0,BoneStab,$U,$gao2,0.44,0,,,,
0,BoneStab,$K,$gao,0.44,0,,,,
0,BoneStab,$w,$gao2,0.44,0,,,,
0,ADD,I,$I,1,,,,,
0,JMPL,13,$I,8,,,,,
0.58888,SansBody,HandDown,,,,,,,
0,SansHead,,,,,,,,
0,SansSlam,1,43,0.4,12,,,,
0.4,BoneStab,1,43,0.4,12,,,,
0,BoneStab,2,43,0.4,12,,,,
0,BoneStab,3,43,0.4,12,,,,
0,BoneStab,0,43,0.4,12,,,,
0.6,HeartMode,,,,,,,,
0,Sound,ding,,,,,,,
0.2,BoneHRepeat,241,126,80,1,150,15,100,
0,BoneHRepeat,325,466,80,3,150,15,100,
0,BoneVRepeat,521,226,80,2,150,15,100,
0,BoneVRepeat,111,311,80,0,150,15,100,
12,SansBody,HandLeft,,,,,,,
0,SansSlam,2,,,,,,,
0,gasterblaster,0,0,0,315,166,90,0.1,0.1
0,gasterblaster,0,640,0,355,166,120,0.1,0.1
0,gasterblaster,0,640,480,355,451,-120,0.1,0.1
0.2,BoneStab,2,29,0.4,0.2,,,,
0.2,HeartMaxFallSpeed,0,,,,,,,
0,CombatZoneResize,241,226,650,391,,,,
0,CombatZoneSpeed,900,,,,,,,
0.8,SansBody,HandRight,,,,,,,
0,SansSlam,0,,,,,,,
0,HeartMaxFallSpeed,300,,,,,,,
0,CombatZoneResize,-10,236,650,381,,,,
0,CombatZoneSpeed,900,,,,,,,
0.46666,SansRepeat,,,,,,,,
0,sanstorso,Default,,,,,,,
0.2,HeartMaxFallSpeed,-300,,,,,,,
0.46666,HeartMaxFallSpeed,0,,,,,,,
1,SET,jjjj,100,,,,,,
0,SUB,jjjj,$jjjj,1,,,,,
0,SET,io,241,,,,,,
0,SET,io2,256,,,,,,
0,RND,jia,96,,,,,,
0,RND,yanse,2,,,,,,
0,ADD,io,$io,$jia,,,,,
0,ADD,io2,$io2,$jia,,,,,
0,bonev,700,$io,40,2,600,$yanse,,
0,boneh,685,$io2,40,2,600,$yanse,,
0,sound,BoneStab,,,,,,,
0.188888,JMPNZ,81,$jjjj,,,,,,
0,HeartMaxFallSpeed,20,,,,,,,
1,DIV,Deg,180,$pi,,,,,
0,SET,I,0,,,,,,
0,DIV,Ang,$I,2,,,,,
0,MUL,Ang,$Ang,$Deg,,,,,
0,SIN,Sine,$Ang,,,,,,
0,MUL,Sine,$Sine,25,,,,,
0,FLOOR,Sine,$Sine,,,,,,
0,MUL,X,$I,15,,,,,
0,ADD,X,$X,634,,,,,
0,SET,Y,241,,,,,,
0,ADD,H,50,$Sine,,,,,
0,BoneV,$X,$Y,$H,2,900,,,
0,ADD,Y,$Y,$H,,,,,
0,ADD,Y,$Y,20,,,,,
0,SUB,H,376,$Y,,,,,
0,BoneV,$X,$Y,$H,2,900,,,
0,ADD,I,$I,1,,,,,
0.05,JMPL,95,$I,124,,,,,
2,HeartMaxFallSpeed,0,,,,,,,
1,bonev,700,241,40,2,500,,,
0,bonev,700,291,85,2,500,,,
0,bonev,715,241,40,2,500,,,
0,bonev,715,291,85,2,500,,,
0,bonev,730,241,40,2,500,,,
0,bonev,730,291,85,2,500,,,
0,bonev,745,241,40,2,500,,,
0,bonev,745,291,85,2,500,,,
0,bonev,760,241,40,2,500,,,
0,bonev,760,291,85,2,500,,,
0,bonev,775,241,40,2,500,,,
0,bonev,775,291,85,2,500,,,
0,bonev,790,241,40,2,500,,,
0,bonev,790,291,85,2,500,,,
0,bonev,805,241,40,2,500,,,
0,bonev,805,291,85,2,500,,,
0,bonev,820,241,40,2,500,,,
0,bonev,820,291,85,2,500,,,
0,bonev,835,241,40,2,500,,,
0,bonev,835,291,85,2,500,,,
0,bonev,850,241,40,2,500,,,
