0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,sanstext,not bad,,,,,,,
0,PlatformRepeat,552,346,51,2,120,8,140,
0,PlatformRepeat,-20,306,51,0,120,8,160,
0,SET,Loop,6,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Y,3,,,,,,
0,MUL,Y,$Y,40,,,,,
0,ADD,Y,$Y,285,,,,,
0,SET,O,45,,,,,,
0,RND,A,91,,,,,,
0,ADD,O,$O,$A,,,,,
0,GasterBlaster,0,320,0,320,66,$O,0.56666,0.1
0,GasterBlaster,0,0,0,73,$Y,0,0.56666,0.1
0.7,RND,Y,3,,,,,,
0,MUL,Y,$Y,40,,,,,
0,ADD,Y,$Y,285,,,,,
0,SET,O,45,,,,,,
0,RND,A,91,,,,,,
0,ADD,O,$O,$A,,,,,
0,GasterBlaster,0,320,0,320,66,$O,0.56666,0.1
0,GasterBlaster,0,640,0,563,$Y,180,0.56666,0.1
0.7,JMPNZ,9,$Loop,,,,,,
0.5,DamagePlayer,-42,1,,,,,,
0,sound,heartsplit,1,,,,,,
0,EndAttack,,,,,,,,
