0,CombatZoneResize,241,226,406,391,,,,
0,CombatZoneSpeed,500,,,,,,,
0,HeartMaxFallSpeed,700,,,,,,,
0,HeartTeleport,320,304,,,,,,
0.2,sanshead,LookLeft,,,,,,,
0,sanstext,Different world and realit            y,,,,,,,
0,sanshead,Closedeyes,,,,,,,
0,sanstext,Hell and heaven,,,,,,,
0,sanstext,I can't tell clearly,,,,,,,
0,SansHead,Default,,,,,,,
0,SansAnimation,Idle,,,,,,,
0.5,CombatZoneResize,121,186,526,391,,,,
0,SET,LLLL,27,,,,,,
0,SUB,LLLL,$LLLL,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,29,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,31,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,33,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,35,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.46666,0.03333
0.233333,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,51,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,53,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,55,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,57,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,1,$X,$Y,$EndX,$EndY,$Ang,0.86666,0.03333
0.233333,JMPNZ,14,$LLLL,,,,,,
0,DamagePlayer,-25,1,,,,,,
0,EndAttack,,,,,,,,
