0,CombatZoneResize,133,251,508,391,,,,,,,,,
0,HeartTeleport,320,376,,,,,,,,,,,
0,HeartMode,1,,,,,,,,,,,,
0.5,SansBody,HandUp,,,,,,,,,,,,
0,SansSlam,3,,,,,,,,,,,,
0.2,BoneStab,3,40,0.2,0,0,,,,,,,,
0,BoneStab,1,75,0.2,0,0,,,,,,,,
0.4,BoneV,503,256,45,2,500,0,,,,,,,
0,BoneV,503,321,65,2,500,0,,,,,,,
0,BoneV,515,256,45,2,500,0,,,,,,,
0,BoneV,515,321,65,2,500,0,,,,,,,
0,BoneV,527,256,45,2,500,0,,,,,,,
0,BoneV,527,321,65,2,500,0,,,,,,,
0,BoneV,128,256,45,0,500,0,,,,,,,
0,BoneV,128,321,65,0,500,0,,,,,,,
0,BoneV,140,256,45,0,500,0,,,,,,,
0,BoneV,140,321,65,0,500,0,,,,,,,
0,BoneV,152,256,45,0,500,0,,,,,,,
0,BoneV,152,321,65,0,500,0,,,,,,,
0.6,SansBody,HandDown,,,,,,,,,,,,
0,SansSlam,1,,,,,,,,,,,,
0.2,GasterBlaster,0,143,0,143,166,90,1,8,0,0,,,
0,GasterBlaster,0,163,0,163,166,90,1,8,0,0,,,
0,GasterBlaster,0,183,0,183,166,90,1,8,0,0,,,
0,GasterBlaster,0,203,0,203,166,90,1,8,0,0,,,
0,GasterBlaster,0,223,0,223,166,90,1,8,0,0,,,
0,GasterBlaster,0,243,0,243,166,90,1,8,0,0,,,
0,GasterBlaster,0,263,0,263,166,90,1,8,0,0,,,
0,GasterBlaster,0,283,0,283,166,90,1,8,0,0,,,
0,GasterBlaster,0,498,0,498,166,90,1,8,0,0,,,
0,GasterBlaster,0,478,0,478,166,90,1,8,0,0,,,
0,GasterBlaster,0,458,0,458,166,90,1,8,0,0,,,
0,GasterBlaster,0,438,0,438,166,90,1,8,0,0,,,
0,GasterBlaster,0,418,0,418,166,90,1,8,0,0,,,
0,GasterBlaster,0,398,0,398,166,90,1,8,0,0,,,
0,GasterBlaster,0,378,0,378,166,90,1,8,0,0,,,
0,GasterBlaster,0,358,0,358,166,90,1,8,0,0,,,
0,SansAnimation,Idle,,,,,,,,,,,,
0.2,SET,Loop,5,,,,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,,,,
0,GBBoneV2,320,231,350,320,366,5,200,90,270,0.2,0,0,0
0.9,GBBoneV2,320,411,350,320,326,5,200,90,90,0.2,0,0,0
0.9,JMPNZ,40,$Loop,,,,,,,,,,,
0.4,GBBoneV2,128,321,125,300,321,5,200,0,180,5,0,0,0
