0,CombatZoneResize,141,256,506,391,,,,,,
0,HeartTeleport,320,375,,,,,,,,
0,HeartMode,1,,,,,,,,,
0.5,SET,Loop,8,,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,,
0,SET,Y,356,,,,,,,,
0,SET,Y3,333,,,,,,,,
0,SET,H,30,,,,,,,,
0,SET,H2,75,,,,,,,,
0,RND,JIAN,40,,,,,,,,
0,SUB,Y,$Y,$JIAN,,,,,,,
0,SUB,Y2,$Y2,$JIAN,,,,,,,
0,SUB,Y3,$Y3,$JIAN,,,,,,,
0,ADD,H,$H,$JIAN,,,,,,,
0,SUB,H2,$H2,$JIAN,,,,,,,
0,BoneV,117,$Y,$H,0,100,0,,,,
0,BoneV,117,261,$H2,0,100,0,,,,
0,BoneT,122,$Y3,30,15,0,100,0,2,0,
0,BoneV,57,261,125,0,100,2,,,,
0,BoneV,105,$Y,$H,0,100,0,,,,
0,BoneV,93,$Y,$H,0,100,0,,,,
0,BoneV,81,$Y,$H,0,100,0,,,,
0,BoneV,69,$Y,$H,0,100,0,,,,
0,BoneV,45,356,30,0,100,0,,,,
0,GasterBlaster3,0,500,0,500,166,90,0,1,1,2
1.79888,SET,Y,356,,,,,,,,
0,SET,Y3,333,,,,,,,,
0,SET,H,30,,,,,,,,
0,SET,H2,75,,,,,,,,
0,RND,JIAN,20,,,,,,,,
0,SUB,Y,$Y,$JIAN,,,,,,,
0,SUB,Y2,$Y2,$JIAN,,,,,,,
0,SUB,Y3,$Y3,$JIAN,,,,,,,
0,ADD,H,$H,$JIAN,,,,,,,
0,SUB,H2,$H2,$JIAN,,,,,,,
0,BoneV,514,$Y,$H,2,100,0,,,,
0,BoneV,514,261,$H2,2,100,0,,,,
0,BoneT,519,$Y3,30,15,180,100,0,-2,0,
0,BoneV,574,261,125,2,100,2,,,,
0,BoneV,526,$Y,$H,2,100,0,,,,
0,BoneV,538,$Y,$H,2,100,0,,,,
0,BoneV,550,$Y,$H,2,100,0,,,,
0,BoneV,562,$Y,$H,2,100,0,,,,
0,BoneV,586,356,30,2,100,0,,,,
0,GasterBlaster3,0,100,0,100,166,90,0,1,1,-2
1.79888,JMPNZ,5,$Loop,,,,,,,,
1.5,EndAttack,,,,,,,,,,
