0,CombatZoneResize,241,226,406,391,,,,,,,,,
0,HeartTeleport,320,304,,,,,,,,,,,
0,HeartMode,0,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
0.5,SET,gt,0,,,,,,,,,,,
0,SET,gin,1,,,,,,,,,,,
0,MUL,Ang,$gt,-10,,,,,,,,,,
0,COS,X,$Ang,,,,,,,,,,,
0,SIN,Y,$Ang,,,,,,,,,,,
0,MUL,EndX,$X,150,,,,,,,,,,
0,MUL,EndY,$Y,150,,,,,,,,,,
0,MUL,X,$EndX,3,,,,,,,,,,
0,MUL,Y,$EndY,3,,,,,,,,,,
0,ADD,X,$X,320,,,,,,,,,,
0,ADD,Y,$Y,306,,,,,,,,,,
0,ADD,EndX,$EndX,320,,,,,,,,,,
0,ADD,EndY,$EndY,306,,,,,,,,,,
0,ADD,Ang,$Ang,180,,,,,,,,,,
0,GBBoneV,$X,$Y,30,$EndX,$EndY,5,120,$Ang*-1,$Ang,0,2,0,0
0,ADD,gt,$gt,$gin,,,,,,,,,,
0,JMPNL,26,$gin,2.2,,,,,,,,,,
0,ADD,gin,$gin,0.015,,,,,,,,,,
0.06666,JMPL,10,$gt,570,,,,,,,,,,
3,EndAttack,,,,,,,,,,,,,
