0,CombatZoneResize,241,226,406,391,,,,,
0,HeartTeleport,320,304,,,,,,,
0,HeartMode,0,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
0.5,SET,Loop,20,,,,,,,
0,SUB,Loop,$Loop,1,,,,,,
0,RND,Ang,50,,,,,,,
0,SET,H,100,,,,,,,
0,SET,H2,35,,,,,,,
0,SET,Y,281,,,,,,,
0,SET,Y2,376,,,,,,,
0,RND,JIA,40,,,,,,,
0,SUB,H,$H,$JIA,,,,,,
0,ADD,H2,$H2,$JIA,,,,,,
0,SUB,Y,$Y,$JIA,,,,,,
0,SUB,Y2,$Y2,$JIA,,,,,,
0,MUL,Ang2,$Ang,-1,,,,,,
0,BoneVV,128,$Y,$H,0,100,0,0,$Ang,0
0,BoneVV,128,$Y2,$H2,0,100,0,0,$Ang,0
0,BoneVV,506,$Y,$H,180,100,0,0,$Ang2,0
0,BoneVV,506,$Y2,$H2,180,100,0,0,$Ang2,0
0.788,JMPNZ,9,$Loop,,,,,,,
1,EndAttack,,,,,,,,,
