0,CombatZoneResize,241,226,406,391,
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
0.4,SET,I,0,,,
0.29999,RND,Direction,4,,,
0,ADD,Jump3,$Direction,1,,
0,ADD,S,$Direction,2,,
0,SUB,O,$Direction,2,,
0,ADD,U,$Direction,1,,
0,SUB,a,$Direction,1,,
0,ADD,K,$Direction,3,,
0,SUB,w,$Direction,3,,
0,SET,gao,44,,,
0,SET,gao2,85,,,
0,RND,JI,25,,,
0,ADD,gao,$gao,$JI,,
0,SUB,gao2,$gao2,$JI,,
0,JMPREL,$Jump3,,,,
0,JMPREL,4,,,,
0,JMPREL,5,,,,
0,JMPREL,6,,,,
0,JMPREL,7,,,,
0,SansBody,HandRight,,,,
0,JMPREL,7,,,,
0,SansBody,HandDown,,,,
0,JMPREL,5,,,,
0,SansBody,HandLeft,,,,
0,JMPREL,3,,,,
0,SansBody,HandUp,,,,
0,JMPREL,1,,,,
0.26666,SansSlam,$Direction,,,,
0.2,BoneStab,$Direction,29,0.44,0,0
0,BoneStab,$S,100,0.44,0,0
0,BoneStab,$O,100,0.44,0,0
0,BoneStab,$a,$gao,0.44,0,0
0,BoneStab,$U,$gao2,0.44,0,0
0,BoneStab,$K,$gao,0.44,0,0
0,BoneStab,$w,$gao2,0.44,0,0
0,ADD,I,$I,1,,
0,JMPL,13,$I,9,,
1,EndAttack,,,,,
